cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
4029	33	5	Organic compounds	0.8	Organic acids and derivatives	0.6	Carboxylic acids and derivatives	0.6	Tetracarboxylic acids and derivatives	0.4	Tetracarboxylic acids and derivatives	0.4	Aliphatic acyclic compounds	0.8
2927	79	2	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Tricarboxylic acids and derivatives	0.5	Tricarboxylic acids and derivatives	0.5	Aliphatic acyclic compounds	1.0
4027	79	2	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Tricarboxylic acids and derivatives	0.5	Tricarboxylic acids and derivatives	0.5	Aliphatic acyclic compounds	1.0
2929	S1778	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
293	S1779	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2930	S1780	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2931	S1781	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Flavonoids	1.0	Flavones	1.0	Flavonols	1.0	Aromatic heteropolycyclic compounds	1.0
2932	S1782	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2933	S1783	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2934	S1784	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2935	S1785	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2936	S1786	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2937	S1787	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2938	138	2	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3507	138	2	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
294	S1788	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2940	S1789	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Fatty Acyls	1.0	Fatty alcohols	1.0	Fatty alcohols	1.0	Aliphatic heteromonocyclic compounds	1.0
2941	S1790	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2942	S1791	1	Organic compounds	1.0	Benzenoids	1.0	Phenols	1.0	1-hydroxy-2-unsubstituted benzenoids	1.0	1-hydroxy-2-unsubstituted benzenoids	1.0	Aromatic homomonocyclic compounds	1.0
2943	S1792	1	Organic compounds	1.0	Organic oxygen compounds	1.0	Organooxygen compounds	1.0	Carbonyl compounds	1.0	Aryl-phenylketones	1.0	Aromatic heteromonocyclic compounds	1.0
